id,custom_label_0
103771,Zombie
102834,Fix-Me
101046,Zombie
101042,Zombie
105305,Zombie
102450,Fix-Me
101415,Hero
103861,Zombie
103121,Sidekick
100153,Zombie
101420,Fix-Me
105198,Zombie
104735,Zombie
105259,Fix-Me
100348,Newborn
100389,Zombie
100138,Zombie
105331,Villain
100272,Zombie
102830,Zombie
104730,Zombie
103684,Zombie
100684,Zombie
105132,Zombie
102861,Sidekick
104462,Villain
103762,Zombie
104713,Hero
104355,Villain
100782,Fix-Me
105566,Zombie
104526,Villain
103906,Zombie
103809,Sidekick
100091,Zombie
104725,Zombie
104793,Zombie
101474,Fix-Me
103264,Fix-Me
103011,Zombie
100283,Zombie
100385,Sidekick
100266,Newborn
100026,Zombie
104975,Sidekick
103168,Zombie
104438,Fix-Me
103256,Sidekick
102483,Hero
103645,Zombie
103801,Zombie
105002,Zombie
101008,Zombie
103224,Fix-Me
100183,Zombie
101480,Fix-Me
100049,Zombie
101330,Sidekick
103222,Fix-Me
101196,Hero
104407,Hero
100290,Zombie
103369,Hero
104558,Sidekick
100472,Hero
101717,Zombie
103952,Sidekick
105164,Zombie
104129,Zombie
101197,Fix-Me
105348,Fix-Me
104533,Villain
103015,Sidekick
101201,Zombie
104445,Fix-Me
102893,Zombie
100057,Fix-Me
103317,Fix-Me
103945,Sidekick
103990,Zombie
105243,Fix-Me
105558,Zombie
100194,Zombie
103014,Fix-Me
103812,Zombie
102825,Villain
105163,Zombie
100170,Zombie
103235,Villain
104834,Villain
101111,Zombie
101180,Villain
101798,Zombie
101733,Zombie
105255,Zombie
104749,Zombie
103799,Fix-Me
102621,Zombie
100010,Hero
104733,Zombie
100352,Zombie
101067,Zombie
104773,Zombie
104486,Zombie
100417,Hero
101035,Zombie
101472,Fix-Me
105012,Zombie
100079,Villain
101461,Villain
104809,Zombie
103690,Zombie
103647,Zombie
101757,Zombie
102819,Zombie
100107,Zombie
100039,Fix-Me
104766,Zombie
100372,Fix-Me
103159,Sidekick
100054,Zombie
102537,Zombie
103612,Sidekick
105010,Zombie
101710,Zombie
104747,Zombie
104926,Villain
103712,Zombie
101057,Fix-Me
103330,Zombie
104949,Zombie
100171,Zombie
101120,Zombie
104802,Zombie
105036,Zombie
101622,Villain
105258,Zombie
103527,Zombie
103658,Zombie
104759,Zombie
102473,Fix-Me
103635,Villain
101345,Sidekick
105484,Villain
103947,Villain
101205,Villain
103696,Zombie
102977,Sidekick
100220,Zombie
103988,Newborn
104974,Zombie
101524,Villain
100058,Sidekick
100823,Villain
104699,Zombie
105509,Fix-Me
103388,Zombie
100994,Zombie
103773,Zombie
105211,Zombie
103777,Sidekick
104720,Fix-Me
104852,Zombie
102807,Zombie
103996,Zombie
103627,Zombie
103709,Zombie
101685,Sidekick
103649,Zombie
103606,Fix-Me
100792,Hero
103721,Zombie
101139,Zombie
100229,Zombie
103640,Zombie
100804,Villain
102474,Sidekick
103643,Zombie
100273,Zombie
101470,Fix-Me
100245,Newborn
104446,Zombie
101037,Zombie
103966,Fix-Me
100242,Zombie
101831,Sidekick
105146,Zombie
105315,Fix-Me
100135,Zombie
104489,Zombie
102522,Zombie
100265,Zombie
103122,Sidekick
102490,Fix-Me
104895,Zombie
100080,Zombie
105009,Zombie
101540,Villain
104354,Zombie
104687,Fix-Me
101795,Zombie
101794,Zombie
103211,Fix-Me
105222,Fix-Me
101749,Zombie
105388,Zombie
101016,Zombie
103260,Hero
105300,Zombie
104697,Zombie
101660,Zombie
103985,Sidekick
103819,Zombie
104473,Hero
105239,Fix-Me
102462,Fix-Me
105138,Sidekick
105335,Hero
103204,Fix-Me
103900,Zombie
105385,Sidekick
100086,Zombie
103359,Fix-Me
104718,Villain
101487,Sidekick
103296,Villain
104995,Fix-Me
100853,Fix-Me
103010,Zombie
104130,Zombie
105501,Sidekick
100052,Fix-Me
104927,Newborn
101873,Zombie
101086,Zombie
100318,Newborn
105373,Fix-Me
101195,Villain
104907,Zombie
101765,Zombie
100151,Zombie
100197,Zombie
101184,Villain
102913,Sidekick
100313,Zombie
105404,Villain
100717,Zombie
100322,Zombie
100304,Zombie
105615,Sidekick
104789,Zombie
103701,Zombie
100023,Zombie
104019,Zombie
102997,Fix-Me
104420,Fix-Me
101558,Sidekick
100764,Zombie
105312,Zombie
101074,Zombie
104724,Zombie
100141,Zombie
100018,Zombie
101029,Zombie
104402,Fix-Me
102569,Hero
